Epoch,Node_0,Node_1,Node_2
1,0.1,0.2,0.3
2,0.1,0.2,0.3
3,0.1,0.2,0.3
4,0.1,0.2,0.3
5,0.1,0.2,0.3
6,0.1,0.2,0.3
7,0.1,0.2,0.3
8,0.1,0.2,0.3
9,0.1,0.2,0.3
10,0.1,0.2,0.3
11,0.1,0.2,0.3
12,0.1,0.2,0.3
13,0.1,0.2,0.3
14,0.1,0.2,0.3
15,0.1,0.2,0.3
16,0.1,0.2,0.3
17,0.1,0.2,0.3
18,0.1,0.2,0.3
19,0.1,0.2,0.3
20,0.1,0.2,0.3
21,0.1,0.2,0.3
22,0.1,0.2,0.3
23,0.1,0.2,0.3
24,0.1,0.2,0.3
25,0.1,0.2,0.3
26,0.1,0.2,0.3
27,0.1,0.2,0.3
28,0.1,0.2,0.3
29,0.1,0.2,0.3
30,0.1,0.2,0.3
31,0.1,0.2,0.3
32,0.1,0.2,0.3
33,0.1,0.2,0.3
34,0.1,0.2,0.3
35,0.1,0.2,0.3
36,0.1,0.2,0.3
37,0.1,0.2,0.3
38,0.1,0.2,0.3
39,0.1,0.2,0.3
40,0.1,0.2,0.3
41,0.1,0.2,0.3
42,0.1,0.2,0.3
43,0.1,0.2,0.3
44,0.1,0.2,0.3
45,0.1,0.2,0.3
46,0.1,0.2,0.3
47,0.1,0.2,0.3
48,0.1,0.2,0.3
49,0.1,0.2,0.3
50,0.1,0.2,0.3
51,0.1,0.2,0.3
52,0.1,0.2,0.3
53,0.1,0.2,0.3
54,0.1,0.2,0.3
55,0.1,0.2,0.3
56,0.1,0.2,0.3
57,0.1,0.2,0.3
58,0.1,0.2,0.3
59,0.1,0.2,0.3
60,0.1,0.2,0.3
61,0.1,0.2,0.3
62,0.1,0.2,0.3
63,0.1,0.2,0.3
64,0.1,0.2,0.3
65,0.1,0.2,0.3
66,0.1,0.2,0.3
67,0.1,0.2,0.3
68,0.1,0.2,0.3
69,0.1,0.2,0.3
70,0.1,0.2,0.3
71,0.1,0.2,0.3
72,0.1,0.2,0.3
73,0.1,0.2,0.3
74,0.1,0.2,0.3
