Epoch,Net Sparsity
1,0.9914909638554217
2,0.9915411646586345
3,0.9915411646586345
4,0.9915411646586345
5,0.9915411646586345
6,0.9915411646586345
7,0.9915411646586345
8,0.9915411646586345
9,0.9915411646586345
10,0.9915411646586345
11,0.9915411646586345
12,0.9915411646586345
13,0.9915599899598394
14,0.9915662650602409
15,0.9915725401606426
16,0.9915756777108434
17,0.9915788152610442
18,0.9915788152610442
19,0.991581952811245
20,0.991581952811245
21,0.9915882279116466
22,0.9915913654618473
23,0.9915945030120482
24,0.991597640562249
25,0.9916039156626506
26,0.9916101907630522
27,0.9916227409638554
28,0.991629016064257
29,0.9916352911646586
30,0.9916729417670683
