Epoch,Net Sparsity
1,0.9933703564257028
2,0.9933891817269076
3,0.9934174196787149
4,0.9934833082329317
5,0.993542921686747
6,0.9955070281124498
7,0.9955164407630522
8,0.995519578313253
9,0.9955321285140563
10,0.9955540913654618
11,0.9955635040160643
12,0.9955635040160643
13,0.9955948795180722
14,0.9955980170682731
15,0.9955980170682731
16,0.9955980170682731
17,0.9955980170682731
18,0.9955980170682731
19,0.9973613202811245
20,0.9973675953815261
21,0.9973675953815261
22,0.997370732931727
23,0.997370732931727
24,0.997370732931727
25,0.9973738704819277
26,0.9973770080321285
27,0.9973770080321285
28,0.9973770080321285
29,0.9973770080321285
30,0.9973801455823293
