Epoch,Net Sparsity
1,0.999226661392405
2,0.9992474287974683
3,0.9995465783227848
4,0.9995596815664557
5,0.9995816851265823
6,0.9997349683544304
7,0.9997455992879747
8,0.9997473299050633
9,0.9997480715981013
10,0.999748318829114
11,0.9997490605221518
12,0.9997498022151898
13,0.9997505439082278
14,0.9997507911392405
15,0.9997507911392405
16,0.9997510383702531
17,0.9997562302215189
18,0.9997609276107595
19,0.9997614220727848
20,0.9997624109968355
21,0.9997624109968355
22,0.999763399920886
23,0.9997636471518987
24,0.9997636471518987
25,0.9997638943829114
26,0.9997638943829114
27,0.9997638943829114
28,0.999764141613924
29,0.999764141613924
30,0.9997643888449367
