Epoch,Net Sparsity
1,0.9987463401479351
2,0.9987479453462091
3,0.9994734949660982
4,0.9994734949660982
5,0.9994751001643724
6,0.9994751001643724
7,0.9994751001643724
8,0.9994751001643724
9,0.9994751001643724
10,0.9994751001643724
11,0.9994751001643724
12,0.9994751001643724
13,0.9994751001643724
14,0.9994751001643724
15,0.9994751001643724
16,0.9994751001643724
17,0.9994751001643724
18,0.9994751001643724
19,0.9994751001643724
20,0.9994751001643724
21,0.9994751001643724
22,0.9994751001643724
23,0.9994751001643724
24,0.9994751001643724
25,0.9994751001643724
26,0.9994751001643724
27,0.9994751001643724
28,0.9994751001643724
29,0.9994751001643724
30,0.9994751001643724
