Epoch,Net Sparsity
1,0.997933355067064
2,0.998039598081222
3,0.9980856852334824
4,0.9981560287816692
5,0.9982181251552409
6,0.9982807066567313
7,0.9983204871460507
8,0.9983471691815698
9,0.9983656040424739
10,0.9983801578800298
11,0.9983951968455043
12,0.9988822652757079
13,0.9990054877670144
14,0.999014220069548
15,0.9990404169771485
16,0.9990520600471933
17,0.9990637031172379
18,0.999073890803527
19,0.999082137978142
20,0.999090385152757
21,0.9990981471994536
22,0.9991083348857427
23,0.9991127010370094
24,0.9991170671882762
25,0.9991209482116244
26,0.9991257994908097
27,0.9991311358979136
28,0.9991359871770988
29,0.9991388979446101
30,0.9991403533283656
31,0.9991422938400397
32,0.999145204607551
